Runs,Games,Wins,Loss,W-L%
0,10,0,10,0
1,11,3,8,0.273
2,20,3,17,0.15
3,19,6,13,0.316
4,9,5,4,0.556
5,24,15,9,0.625
6,19,14,5,0.737
7,15,12,3,0.8
8,10,9,1,0.9
9,4,4,0,1
10,9,9,0,1
11,7,7,0,1
12,3,3,0,1
13,1,1,0,1
21,1,1,0,1