Runs,Games,Wins,Loss,W-L%
0,6,6,0,1
1,10,9,1,0.9
2,11,5,6,0.455
3,18,9,9,0.5
4,26,5,21,0.192
5,16,9,7,0.563
6,20,3,17,0.15
7,13,1,12,0.077
8,13,2,11,0.154
9,6,1,5,0.167
10,11,1,10,0.091
11,7,0,7,0
13,2,0,2,0
14,1,0,1,0
15,1,0,1,0
18,1,0,1,0
