Runs,Games,Wins,Loss,W-L%
0,13,13,0,1
1,18,18,0,1
2,23,18,5,0.783
3,22,12,10,0.545
4,26,15,11,0.577
5,18,8,10,0.444
6,8,5,3,0.625
7,12,4,8,0.333
8,4,2,2,0.5
9,5,0,5,0
10,10,1,9,0.1
11,2,0,2,0
13,1,0,1,0
