Runs,Games,Wins,Loss,W-L%
0,7,0,7,0
1,15,3,12,0.2
2,18,4,14,0.222
3,15,5,10,0.333
4,26,12,14,0.462
5,16,15,1,0.938
6,23,20,3,0.87
7,8,6,2,0.75
8,13,10,3,0.769
9,9,9,0,1
10,4,4,0,1
11,4,4,0,1
12,1,1,0,1
14,1,1,0,1
16,1,1,0,1
18,1,1,0,1
