Runs,Games,Wins,Loss,W-L%
0,3,0,3,0
1,9,1,8,0.111
2,12,3,9,0.25
3,15,3,12,0.2
4,27,13,14,0.481
5,16,11,5,0.688
6,19,11,8,0.579
7,16,11,5,0.688
8,10,10,0,1
9,10,10,0,1
10,5,5,0,1
11,10,10,0,1
12,6,6,0,1
13,1,1,0,1
14,3,3,0,1