Runs,Games,Wins,Loss,W-L%
0,12,0,12,0
1,11,1,10,0.091
2,18,5,13,0.278
3,24,5,19,0.208
4,20,14,6,0.7
5,20,17,3,0.85
6,11,6,5,0.545
7,14,12,2,0.857
8,7,6,1,0.857
9,5,4,1,0.8
10,6,5,1,0.833
11,6,6,0,1
12,5,5,0,1
13,3,3,0,1
