Runs,Games,Wins,Loss,W-L%
0,10,0,10,0
1,11,1,10,0.091
2,21,4,17,0.19
3,19,9,10,0.474
4,21,9,12,0.429
5,25,11,14,0.44
6,18,14,4,0.778
7,13,10,3,0.769
8,7,4,3,0.571
9,8,7,1,0.875
10,2,0,2,0
11,4,4,0,1
12,1,1,0,1
14,2,2,0,1
