Runs,Games,Wins,Loss,W-L%
0,8,8,0,1
1,12,11,1,0.917
2,18,16,2,0.889
3,19,13,6,0.684
4,11,5,6,0.455
5,26,9,17,0.346
6,20,9,11,0.45
7,18,7,11,0.389
8,5,1,4,0.2
9,5,0,5,0
10,7,0,7,0
11,3,1,2,0.333
12,2,0,2,0
13,1,0,1,0
14,2,0,2,0
15,2,0,2,0
16,2,0,2,0
17,1,0,1,0