Runs,Games,Wins,Loss,W-L%
0,8,0,8,0
1,18,0,18,0
2,23,3,20,0.13
3,21,12,9,0.571
4,23,12,11,0.522
5,18,15,3,0.833
6,14,10,4,0.714
7,9,7,2,0.778
8,9,7,2,0.778
9,9,8,1,0.889
10,3,2,1,0.667
11,6,6,0,1
13,1,1,0,1
