Runs,Games,Wins,Loss,W-L%
0,6,6,0,1
1,13,13,0,1
2,26,20,6,0.769
3,27,18,9,0.667
4,28,17,11,0.607
5,13,9,4,0.692
6,19,7,12,0.368
7,13,3,10,0.231
8,5,0,5,0
9,8,0,8,0
10,2,0,2,0
11,1,0,1,0
13,1,0,1,0
