Runs,Games,Wins,Loss,W-L%
0,12,0,12,0
1,18,0,18,0
2,15,4,11,0.267
3,19,10,9,0.526
4,16,11,5,0.688
5,23,13,10,0.565
6,12,11,1,0.917
7,19,16,3,0.842
8,8,8,0,1
9,6,6,0,1
10,7,7,0,1
11,3,3,0,1
12,2,2,0,1
13,1,1,0,1
14,1,1,0,1
