Runs,Games,Wins,Loss,W-L%
0,16,0,16,0
1,17,2,15,0.118
2,24,4,20,0.167
3,24,9,15,0.375
4,22,12,10,0.545
5,9,4,5,0.444
6,18,10,8,0.556
7,15,12,3,0.8
8,5,4,1,0.8
9,4,3,1,0.75
10,3,3,0,1
11,3,3,0,1
12,1,1,0,1
