Runs,Games,Wins,Loss,W-L%
0,7,0,7,0
1,8,1,7,0.125
2,19,4,15,0.211
3,17,6,11,0.353
4,18,9,9,0.5
5,21,19,2,0.905
6,15,13,2,0.867
7,15,12,3,0.8
8,11,8,3,0.727
9,7,6,1,0.857
10,9,8,1,0.889
11,8,8,0,1
12,3,3,0,1
13,1,1,0,1
14,1,1,0,1
18,2,2,0,1