Runs,Games,Wins,Loss,W-L%
0,8,8,0,1
1,17,16,1,0.941
2,26,22,4,0.846
3,9,7,2,0.778
4,28,19,9,0.679
5,21,6,15,0.286
6,16,6,10,0.375
7,9,3,6,0.333
8,9,1,8,0.111
9,5,2,3,0.4
10,6,0,6,0
11,4,1,3,0.25
12,3,0,3,0
13,1,0,1,0