Runs,Games,Wins,Loss,W-L%
0,5,5,0,1
1,13,13,0,1
2,19,17,2,0.895
3,20,13,7,0.65
4,28,17,11,0.607
5,19,7,12,0.368
6,21,7,14,0.333
7,12,4,8,0.333
8,5,1,4,0.2
9,6,1,5,0.167
10,7,1,6,0.143
11,1,0,1,0
12,4,0,4,0
14,1,0,1,0
16,1,0,1,0
