Runs,Games,Wins,Loss,W-L%
0,4,0,4,0
1,18,0,18,0
2,12,3,9,0.25
3,18,2,16,0.111
4,29,18,11,0.621
5,14,12,2,0.857
6,17,10,7,0.588
7,13,10,3,0.769
8,13,9,4,0.692
9,9,9,0,1
10,6,5,1,0.833
11,3,2,1,0.667
12,1,1,0,1
13,1,1,0,1
14,1,1,0,1
15,1,1,0,1
16,1,1,0,1
17,1,1,0,1
