Runs,Games,Wins,Loss,W-L%
0,8,8,0,1
1,18,17,1,0.944
2,19,17,2,0.895
3,23,16,7,0.696
4,24,12,12,0.5
5,21,8,13,0.381
6,18,7,11,0.389
7,13,2,11,0.154
8,4,0,4,0
9,6,0,6,0
10,1,0,1,0
11,2,0,2,0
12,3,0,3,0
13,2,0,2,0
