Runs,Games,Wins,Loss,W-L%
0,7,7,0,1
1,12,10,2,0.833
2,18,13,5,0.722
3,25,14,11,0.56
4,15,9,6,0.6
5,20,6,14,0.3
6,16,1,15,0.063
7,12,3,9,0.25
8,11,0,11,0
9,12,0,12,0
10,6,0,6,0
11,3,0,3,0
12,1,0,1,0
13,1,0,1,0
14,2,0,2,0
18,1,0,1,0
