Runs,Games,Wins,Loss,W-L%
0,4,0,4,0
1,12,1,11,0.083
2,10,0,10,0
3,22,9,13,0.409
4,31,15,16,0.484
5,17,13,4,0.765
6,17,11,6,0.647
7,18,14,4,0.778
8,7,7,0,1
9,12,9,3,0.75
10,4,4,0,1
11,2,2,0,1
12,1,1,0,1
13,1,1,0,1
14,1,1,0,1
16,2,2,0,1
18,1,1,0,1
