Runs,Games,Wins,Loss,W-L%
0,12,12,0,1
1,17,16,1,0.941
2,25,21,4,0.84
3,22,16,6,0.727
4,25,21,4,0.84
5,15,8,7,0.533
6,14,7,7,0.5
7,14,1,13,0.071
8,7,1,6,0.143
9,2,1,1,0.5
10,5,1,4,0.2
11,3,0,3,0
12,1,0,1,0
