Runs,Games,Wins,Loss,W-L%
0,5,5,0,1
1,14,13,1,0.929
2,16,15,1,0.938
3,16,12,4,0.75
4,25,12,13,0.48
5,18,4,14,0.222
6,15,4,11,0.267
7,18,4,14,0.222
8,9,0,9,0
9,8,0,8,0
10,6,0,6,0
11,4,0,4,0
12,2,0,2,0
13,2,1,1,0.5
14,2,0,2,0
16,1,0,1,0