Runs,Games,Wins,Loss,W-L%
0,9,9,0,1
1,12,11,1,0.917
2,16,11,5,0.688
3,21,18,3,0.857
4,22,13,9,0.591
5,20,9,11,0.45
6,11,7,4,0.636
7,21,6,15,0.286
8,12,3,9,0.25
9,8,1,7,0.125
10,3,0,3,0
11,2,0,2,0
12,2,0,2,0
13,1,0,1,0
14,1,0,1,0
15,1,1,0,1