Runs,Games,Wins,Loss,W-L%
0,16,0,16,0
1,19,1,18,0.053
2,30,8,22,0.267
3,16,5,11,0.313
4,23,10,13,0.435
5,11,4,7,0.364
6,21,16,5,0.762
7,7,5,2,0.714
8,10,9,1,0.9
9,2,2,0,1
10,4,4,0,1
12,1,1,0,1
17,1,1,0,1
19,1,1,0,1
